"code","iso","country","GRA.raw.1992","GRA.raw.1993","GRA.raw.1994","GRA.raw.1995","GRA.raw.1996","GRA.raw.1997","GRA.raw.1998","GRA.raw.1999","GRA.raw.2000","GRA.raw.2001","GRA.raw.2002","GRA.raw.2003","GRA.raw.2004","GRA.raw.2005","GRA.raw.2006","GRA.raw.2007","GRA.raw.2008","GRA.raw.2009","GRA.raw.2010","GRA.raw.2011","GRA.raw.2012","GRA.raw.2013","GRA.raw.2014","GRA.raw.2015"
36,"AUS","Australia",1200638.34,1200636.27,1200634.29,1197277.11,1194113.88,1194339.33,1191715.65,1193696.28,1201574.52,1202918.58,1205032.14,1208367.45,1216278,1214041.68,1211746.95,1209932.1,1207398.96,1207530.81,1205280.18,1205848.17,1207770.93,1211852.34,1218576.15,1218573.54
40,"AUT","Austria",11350.8,11349.27,11347.29,11358.36,11370.78,11379.87,11566.89,11841.3,11936.43,11975.76,12069.63,12085.29,12273.48,12282.39,12283.74,12293.55,12319.74,12353.13,12458.16,12498.84,12547.8,12610.35,12748.59,12753.63
31,"AZE","Azerbaijan",3630.15,3629.97,3629.88,3716.91,3718.8,3729.87,3745.98,3775.05,3792.33,3783.15,3784.59,3788.1,3795.93,3794.22,3791.16,3789.9,3794.67,3803.85,3809.97,3817.08,3813.66,3813.75,3811.68,3811.59
44,"BHS","Bahamas",1386.36,1386.27,1386.18,1386.81,1386.54,1387.08,1387.8,1381.14,1392.3,1394.01,1397.88,1397.16,1404.18,1405.17,1404.9,1405.98,1406.79,1407.15,1408.14,1410.75,1415.34,1415.43,1419.48,1419.48
48,"BHR","Bahrain",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,"BGD","Bangladesh",2012.04,2011.86,2011.5,1638.54,1607.58,1558.53,1508.22,1462.32,1423.98,1268.64,1210.86,1154.61,1140.75,1146.33,1140.66,1176.12,1184.58,1206,1229.85,1240.92,1257.21,1261.62,1253.7,1253.7
52,"BRB","Barbados",7.38,7.2,6.84,6.75,6.57,6.57,6.57,6.57,6.57,6.48,6.48,6.48,6.39,6.03,5.94,5.67,5.4,5.22,4.68,4.5,4.23,4.14,4.14,4.14
112,"BLR","Belarus",3189.06,3188.97,3188.52,3235.5,3237.93,3249.27,3276.99,3388.23,3431.25,3427.38,3418.38,3415.23,3424.95,3424.14,3423.33,3422.07,3409.65,3410.01,3414.96,3444.3,3449.7,3454.38,3464.64,3464.46
56,"BEL","Belgium",4200.57,4199.94,4197.51,4238.28,4243.5,4246.2,4299.93,4403.97,4496.04,4508.55,4516.02,4505.85,4503.6,4505.76,4514.58,4523.04,4524.39,4526.37,4534.2,4538.61,4541.4,4541.76,4541.49,4541.49
84,"BLZ","Belize",219.33,219.33,219.33,223.29,224.64,227.07,228.42,236.61,240.66,242.73,244.89,247.14,257.4,269.64,271.8,282.06,295.02,303.66,308.52,312.84,319.59,321.39,322.02,322.02
204,"BEN","Benin",22.5,22.32,22.05,21.96,21.87,16.92,16.92,17.19,17.46,17.01,15.66,15.57,15.03,14.4,13.86,13.77,13.5,13.05,12.87,12.42,11.97,11.52,11.34,11.07
60,"BMU","Bermuda",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
