"code","iso","country","AMP.raw.1990","AMP.raw.1991","AMP.raw.1992","AMP.raw.1993","AMP.raw.1994","AMP.raw.1995","AMP.raw.1996","AMP.raw.1997","AMP.raw.1998","AMP.raw.1999","AMP.raw.2000","AMP.raw.2001","AMP.raw.2002","AMP.raw.2003","AMP.raw.2004","AMP.raw.2005","AMP.raw.2006","AMP.raw.2007","AMP.raw.2008","AMP.raw.2009","AMP.raw.2010","AMP.raw.2011","AMP.raw.2012","AMP.raw.2013","AMP.raw.2014","AMP.raw.2015","AMP.raw.2016","AMP.raw.2017","AMP.raw.2018","AMP.raw.2019","AMP.raw.2020"
170,"COL","Colombia",1825.44822132032,1825.44822132032,1825.44822132032,1825.44822132032,1825.44822132032,1825.44822132032,28671.5876418229,28671.5876418229,28671.5876418229,29326.3386119067,29326.3386119067,29328.0676416502,29328.0676416454,29326.338611902,29328.0676416454,29384.2422193618,60881.1430797842,60881.1430797842,60881.1430797842,60881.1430797842,60881.1430797842,61340.8929008498,61341.2824423343,61341.2824423336,63035.6699701579,63721.8188471815,63721.8188471789,63721.8188471878,92934.2142774843,92934.2142774843,92934.2142774843
174,"COM","Comoros",0,0,0,0,0,0,0,0,0,0,0,0,37.2499999999998,37.2499999999998,37.2499999999998,37.2499999999998,37.2499999999998,37.2997375515094,37.2997375515094,37.2997375515094,37.2997375515094,37.2997375515094,37.2997375515094,37.2997375515094,37.2997375515094,37.2997375515094,37.2997375515094,37.2997375515094,37.2997375515094,37.2997375515094,37.2997375515094
184,"COK","Cook Islands",2.41957694461156,2.41957694461156,9.81957694460964,9.81957694460964,9.81957694460964,9.81957694460964,9.81957694460964,9.81957694460964,9.81957694460964,10.6913440296331,10.6913440296331,14.3227287999515,14.3227287999515,14.3227287999515,14.3227287999515,14.3227287999515,14.3227287999515,14.3227287999515,14.3227287999515,14.3227287999515,14.3227287999515,14.3227287999515,14.3227287999515,14.3227287999515,14.3227287999515,14.3227287999515,14.3227287999515,14.3227287999515,1979947.19920238,1979947.19920238,1979947.19920238
188,"CRI","Costa Rica",2650.31440884476,2650.31440884476,2903.52052193819,2955.51933045937,2955.51933045937,3118.02241163764,3263.34418718041,3263.34418718041,3263.34418718041,3325.45779422125,3325.4577937194,3325.4577937194,3325.4577937194,3325.4577937194,3325.4577937194,3325.4577937194,3325.4577937194,3525.32430626695,3525.32430626695,3525.32430626695,3525.32430626695,3525.32430626695,13143.4659624037,13143.4659624037,13143.4659624037,13143.4659624037,13143.4659624037,13143.4659624037,13963.738414997,13963.738414997,13963.738414997
384,"CIV","Cote d'Ivoire",0.823593177003605,0.823593177003605,0.823593177003605,0.823593177003605,0.823593177003605,0.823593177003605,0.823593177003605,0.823593177003605,0.823593177003605,0.823593177003605,0.823593177003605,0.823593177003605,0.823593177003605,0.823593177003605,0.823593177003605,0.823593177003605,165.522468944143,165.522468944143,165.522468944143,165.522468944143,165.522468944143,165.522468944143,165.522468944143,165.522468944143,165.522468944143,165.522468944143,165.522468944143,165.522468944143,165.522468944143,165.522468944143,165.522468944143
191,"HRV","Croatia",127.114935150596,127.114935150596,127.114935150596,127.114935150596,127.114935112598,131.14906428913,131.14906428913,131.14906428913,131.14906428913,131.14906428913,131.14906428913,131.14906428913,131.14906428913,131.14906428913,131.14906428833,131.14906428833,131.14906428833,131.14906428913,131.14906428913,131.14906428913,131.14906428913,131.14906428913,131.14906428913,131.14906428913,4149.41636189123,4149.41636189123,4160.2035597809,4160.20355979661,4160.20355979645,4160.20355979645,4160.20355979645
192,"CUB","Cuba",0,0,0,0,0,0,0,0,0,0,0,0,913.418818837432,913.418818837432,913.418818837432,913.418818837432,913.418818837432,913.418818837432,913.418818837432,1201.3334757541,1201.3334757541,3532.48817992043,3532.48817992043,5358.29875737452,5358.29875737452,5358.29875737452,5358.29875737452,5358.29875737452,5358.29875737452,5358.29875737452,5358.29875737452
531,"CUW","Curacao",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
196,"CYP","Cyprus",5.53093962344636,5.53093962344636,5.53093962344636,5.53093962344636,5.53093962344636,5.53093962344636,5.53093962344636,5.53093962344636,5.53093962344636,5.53093962344636,5.53093962344636,5.53093962344636,5.53093962344636,5.53093962344636,5.53093962344636,45.1003127317448,45.1003127317448,45.1003127317448,45.1003127317448,45.1003127317448,45.1003127317448,45.1003127317448,45.1003127317448,45.1003127317448,45.1003127317448,45.1003127748273,45.1003127748273,54.2051865436014,54.2051865436014,54.2051865436014,54.2051865436014
203,"CZE","Czech Republic",NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180,"COD","Dem. Rep. Congo",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
