"code","iso","country","URP.raw.1950","URP.raw.1955","URP.raw.1960","URP.raw.1965","URP.raw.1970","URP.raw.1975","URP.raw.1980","URP.raw.1985","URP.raw.1990","URP.raw.1995","URP.raw.2000","URP.raw.2005","URP.raw.2010","URP.raw.2015","URP.raw.2020","URP.raw.2025","URP.raw.2030","URP.raw.2035","URP.raw.2040","URP.raw.2045"
140,"CAF","Central African Republic",14.418,17.072,20.1,23.519,27.492,31.971,33.874,35.532,36.825,37.231,37.639,38.069,38.904,40.277,42.198,44.666,47.646,50.823,53.993,57.131
148,"TCD","Chad",4.5,5.495,6.695,8.406,11.568,15.566,18.787,19.779,20.811,21.473,21.637,21.801,21.985,22.515,23.52,25.038,27.117,29.798,32.824,36
152,"CHL","Chile",58.421,63.254,67.836,71.696,75.227,78.386,81.243,82.624,83.271,84.545,86.073,86.783,87.074,87.36,87.727,88.226,88.839,89.547,90.327,91.113
156,"CHN","China",11.803,13.856,16.203,18.086,17.4,17.4,19.358,22.874,26.442,30.961,35.877,42.522,49.226,55.5,61.428,66.481,70.626,73.918,76.436,78.318
170,"COL","Colombia",32.601,39.223,46.268,52.82,56.635,60.306,63.738,67.034,69.481,71.777,73.957,76.024,77.964,79.764,81.425,82.945,84.323,85.577,86.748,87.836
174,"COM","Comoros",6.601,9.15,12.551,16.978,19.39,21.239,23.215,25.469,27.869,28.301,28.08,27.875,27.973,28.47,29.38,30.722,32.523,34.551,36.636,38.773
184,"COK","Cook Islands",38.028,42.191,46.469,50.796,53.285,54.009,53.815,55.202,57.715,58.678,65.191,71.026,73.255,74.404,75.495,76.643,77.842,79.08,80.344,81.612
188,"CRI","Costa Rica",33.508,33.88,34.254,35.791,38.827,41.349,43.099,45.445,50.003,54.561,59.052,65.672,71.736,76.862,80.771,83.679,85.788,87.259,88.302,89.255
384,"CIV","Cote d'Ivoire",9.962,13.121,17.679,24.5,28.163,32.229,36.829,37.91,39.345,41.21,43.155,45.234,47.33,49.444,51.706,54.144,56.73,59.422,62.157,64.842
191,"HRV","Croatia",22.295,26.032,30.154,34.977,40.196,43.864,47.285,49.287,51.037,52.279,53.428,54.315,55.155,56.155,57.553,59.329,61.454,63.874,66.442,68.929
192,"CUB","Cuba",56.511,57.458,58.401,59.337,60.266,64.224,68.106,70.933,73.364,74.277,75.323,76.134,76.597,76.896,77.194,77.803,78.702,79.859,81.23,82.704
