"code","iso","country","URP.raw.1950","URP.raw.1955","URP.raw.1960","URP.raw.1965","URP.raw.1970","URP.raw.1975","URP.raw.1980","URP.raw.1985","URP.raw.1990","URP.raw.1995","URP.raw.2000","URP.raw.2005","URP.raw.2010","URP.raw.2015","URP.raw.2020","URP.raw.2025","URP.raw.2030","URP.raw.2035","URP.raw.2040","URP.raw.2045"
586,"PAK","Pakistan",17.521,19.712,22.104,23.511,24.817,26.341,28.066,29.344,30.576,31.836,32.982,33.982,34.997,36.026,37.165,38.708,40.68,43.082,45.897,49.027
585,"PLW","Palau",53.883,55.357,56.823,58.276,59.715,61.138,62.542,67.38,69.593,71.431,70.338,71.152,74.817,78.159,80.988,83.252,85.043,86.439,87.504,88.371
591,"PAN","Panama",35.763,38.469,41.249,44.431,47.64,49.038,50.447,52.143,53.903,58.141,62.198,63.682,65.14,66.696,68.414,70.268,72.223,74.234,76.209,78.079
598,"PNG","Papua New Guinea",1.7,2.521,3.725,5.47,9.796,11.93,13.047,13.998,14.994,14.081,13.204,13.109,13.019,13.012,13.345,14.054,15.185,16.806,18.95,21.355
600,"PRY","Paraguay",34.568,35.067,35.569,36.243,37.065,38.981,41.688,44.983,48.694,52.131,55.331,57.633,59.261,60.75,62.183,63.838,65.702,67.741,69.91,72.129
604,"PER","Peru",41,43.884,46.811,51.868,57.406,61.461,64.574,66.864,68.901,70.951,73.042,75.034,76.43,77.357,78.297,79.362,80.537,81.797,83.114,84.443
608,"PHL","Philippines",27.135,28.702,30.297,31.604,32.979,35.56,37.456,42.235,46.986,46.56,46.135,45.71,45.332,46.284,47.408,48.958,50.924,53.285,55.999,58.912
616,"POL","Poland",38.338,43.194,47.892,50.126,52.125,55.28,58.086,59.942,61.27,61.493,61.716,61.452,60.892,60.278,60.043,60.467,61.539,63.231,65.482,67.985
620,"PRT","Portugal",31.195,32.96,34.955,36.866,38.804,40.779,42.785,45.298,47.915,51.109,54.399,57.522,60.567,63.514,66.31,68.933,71.366,73.588,75.605,77.511
634,"QAT","Qatar",80.52,83.03,85.275,87.054,88.354,88.909,89.363,90.1,92.786,94.998,96.311,97.396,98.501,98.945,99.235,99.417,99.532,99.604,99.648,99.677
178,"COG","Republic of Congo",24.926,28.143,31.601,35.273,39.129,43.264,47.857,52.221,54.324,56.413,58.695,60.988,63.256,65.543,67.829,70.085,72.28,74.372,76.357,78.232
642,"ROU","Romania",25.625,30.619,34.209,37.697,40.319,42.831,46.07,49.641,53.217,53.769,53.004,53.174,53.829,53.887,54.194,55.113,56.63,58.717,61.309,64.034
643,"RUS","Russia",44.087,48.954,53.731,58.173,62.471,66.427,69.751,71.923,73.394,73.372,73.35,73.463,73.687,74.05,74.754,75.776,77.084,78.63,80.289,81.859
646,"RWA","Rwanda",2.114,2.345,2.6,2.882,3.194,3.998,4.721,5.057,5.416,9.837,14.926,16.912,16.934,17.004,17.432,18.289,19.619,21.485,23.931,26.681
652,"BLM","Saint Barthelemy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
659,"KNA","Saint Kitts and Nevis",26.518,27.018,27.644,30.855,34.141,35.027,35.882,35.243,34.609,33.715,32.778,32.028,31.322,30.827,30.843,31.368,32.416,34.011,36.051,38.165
662,"LCA","Saint Lucia",19.199,20.306,21.46,22.66,23.907,25.2,26.54,27.923,29.349,28.765,27.774,23.085,18.45,18.515,18.841,19.451,20.364,21.609,23.181,24.871
670,"VCT","Saint Vincent and the Grenadines",21.705,23.759,25.943,28.252,30.683,33.225,35.87,38.602,41.409,43.38,45.186,47.032,48.961,50.964,53.032,55.152,57.293,59.41,61.493,63.534
882,"WSM","Samoa",12.886,17.406,18.926,19.301,20.353,20.992,21.173,21.2,21.2,21.526,21.977,21.218,20.078,18.914,17.889,17.352,17.288,17.695,18.597,19.986
674,"SMR","San Marino",43.2,46.037,48.9,54.402,59.8,71.484,81.231,88.291,90.4,91.664,93.44,94.453,95.74,96.739,97.499,98.021,98.377,98.618,98.779,98.882
678,"STP","Sao Tome and Principe",13.49,14.735,16.073,21.833,29.518,31.639,33.482,38.049,43.648,48.631,53.424,59.165,64.952,70.174,74.354,77.593,80.032,81.8,83.053,84.185
682,"SAU","Saudi Arabia",21.3,25.966,31.25,38.769,48.669,58.349,65.86,72.647,76.583,78.67,79.848,80.979,82.084,83.18,84.287,85.391,86.481,87.542,88.548,89.483
686,"SEN","Senegal",17.23,19.958,23,26.351,30,33.693,35.769,37.549,38.896,39.606,40.32,41.714,43.773,45.862,48.122,50.589,53.237,56.025,58.888,61.723
688,"SRB","Serbia",20.306,24.42,29.064,34.202,39.744,43.128,46.146,48.341,50.393,51.651,52.769,53.883,54.993,55.696,56.446,57.646,59.279,61.315,63.701,66.276
690,"SYC","Seychelles",27.399,27.455,27.673,33.123,39.068,46.266,49.366,49.292,49.27,49.633,50.433,51.67,53.336,55.4,57.546,59.663,61.745,63.784,65.775,67.712
694,"SLE","Sierra Leone",12.56,14.796,17.352,20.379,23.969,27.729,29.819,31.997,33.252,34.429,35.626,36.919,38.856,40.829,42.923,45.268,47.849,50.638,53.587,56.589
702,"SGP","Singapore",99.445,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
534,"SXM","Sint Maarten",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
703,"SVK","Slovakia",30.012,31.712,33.464,37.043,41.057,46.257,51.638,54.176,56.491,56.537,56.233,55.563,54.685,53.889,53.76,54.347,55.639,57.614,60.207,62.983
705,"SVN","Slovenia",19.922,23.816,28.204,32.497,37.004,42.374,48.045,49.584,50.39,50.622,50.754,51.533,52.658,53.781,55.118,56.802,58.811,61.113,63.647,66.247
90,"SLB","Solomon Islands",3.8,4.679,5.768,7.245,8.917,9.125,10.576,12.433,13.677,14.664,15.813,17.832,20.048,22.36,24.67,26.935,29.116,31.171,33.16,35.21
706,"SOM","Somalia",12.726,14.873,17.312,19.964,22.678,25.498,26.763,28.067,29.658,31.425,33.247,36.311,39.31,43.245,46.141,49.119,52.144,55.167,58.119,60.985
710,"ZAF","South Africa",42.23,44.413,46.619,47.248,47.809,48.109,48.425,49.372,52.037,54.486,56.891,59.536,62.218,64.828,67.354,69.773,72.065,74.209,76.184,78.045
410,"KOR","South Korea",21.354,24.392,27.71,32.351,40.704,48.033,56.72,64.876,73.844,78.239,79.621,81.345,81.936,81.634,81.414,81.555,82.049,82.873,83.982,85.249
728,"SSD","South Sudan",8.865,8.806,8.748,8.69,8.633,8.576,8.519,9.844,13.276,15.873,16.504,17.154,17.86,18.852,20.199,21.943,24.131,26.779,29.684,32.764
724,"ESP","Spain",51.92,54.224,56.567,61.278,66.038,69.57,72.789,74.213,75.351,75.856,76.262,77.263,78.442,79.602,80.81,82.053,83.313,84.57,85.796,86.944
144,"LKA","Sri Lanka",15.327,15.647,16.431,17.11,17.598,18.097,18.607,18.613,18.535,18.458,18.38,18.303,18.226,18.256,18.713,19.641,21.085,23.111,25.72,28.579
275,"PSE","State of Palestine",37.3,40.627,44.044,48.898,54.298,59.6,62.388,65.095,67.709,70.216,71.969,73.061,74.149,75.368,76.719,78.176,79.707,81.267,82.757,84.152
729,"SDN","Sudan",6.824,8.584,10.746,13.373,16.523,18.943,19.959,22.937,28.61,32.232,32.495,32.76,33.089,33.894,35.253,37.185,39.705,42.772,46.014,49.291
740,"SUR","Suriname",46.888,47.074,47.26,47.109,45.948,53.749,64.96,65.334,65.706,66.076,66.444,66.682,66.344,66.056,66.149,66.672,67.615,68.957,70.647,72.373
752,"SWE","Sweden",65.724,69.269,72.49,77.056,81.034,82.73,83.087,83.1,83.1,83.824,84.026,84.319,85.056,86.553,87.977,89.208,90.266,91.172,91.946,92.609
756,"CHE","Switzerland",67.381,69.143,70.924,72.417,73.843,74.208,74.477,74.227,73.926,73.654,73.383,73.478,73.607,73.718,73.915,74.466,75.367,76.587,78.083,79.754
760,"SYR","Syria",32.698,34.723,36.807,40.006,43.345,45.061,46.708,47.891,48.931,50.104,51.947,53.782,55.6,52.168,55.475,58.673,61.722,64.589,67.24,69.651
158,"TWN","Taiwan",26.842,29.074,31.412,33.857,36.484,39.784,48.718,57.73,66.257,68.381,69.866,72.292,74.687,76.916,78.942,80.77,82.406,83.858,85.149,86.35
762,"TJK","Tajikistan",29.378,31.242,33.168,35.152,36.876,35.536,34.289,33.235,31.658,28.877,26.501,26.51,26.52,26.742,27.506,28.836,30.769,33.342,36.434,39.666
834,"TZA","Tanzania",3.491,4.409,5.246,6.03,7.852,11.146,14.555,16.767,18.884,20.543,22.309,24.845,28.114,31.617,35.227,38.862,42.447,45.901,49.128,52.29
764,"THA","Thailand",16.479,18.041,19.672,20.221,20.889,23.758,26.791,28.095,29.424,30.276,31.386,37.411,43.856,47.694,51.43,55.024,58.42,61.574,64.447,67.018
626,"TLS","Timor-Leste",9.892,9.991,10.091,11.353,12.886,14.593,16.483,18.563,20.842,22.534,24.263,26.041,27.732,29.49,31.32,33.23,35.217,37.274,39.391,41.552
768,"TGO","Togo",4.384,6.695,10.098,14.95,21.28,22.927,24.663,26.562,28.589,30.705,32.907,35.185,37.533,40.1,42.8,45.642,48.599,51.628,54.665,57.648
776,"TON","Tonga",12.885,15.483,17.552,19.499,20.187,20.337,21.154,22.268,22.704,22.864,23.012,23.155,23.389,23.275,23.099,23.275,23.824,24.764,26.122,27.884
780,"TTO","Trinidad and Tobago",26.26,30.059,34.155,38.498,43.035,47.691,52.284,53.205,54.124,55.04,55.905,54.967,54.025,53.319,53.214,53.709,54.8,56.477,58.577,60.668
788,"TUN","Tunisia",32.293,35.244,37.511,39.724,43.482,47.588,50.569,53.839,57.946,61.474,63.432,65.237,66.657,68.056,69.568,71.22,72.985,74.827,76.702,78.516
792,"TUR","Turkey",24.774,28.553,31.515,34.227,38.234,41.586,43.78,52.448,59.203,62.123,64.741,67.84,70.825,73.611,76.105,78.312,80.247,81.923,83.369,84.704
795,"TKM","Turkmenistan",44.963,45.686,46.412,47.139,47.78,47.557,47.078,45.976,45.075,44.794,45.913,47.052,48.491,50.317,52.516,55.058,57.878,60.754,63.557,66.271
796,"TCA","Turks and Caicos Islands",47.2,47.405,47.679,49.392,51.106,53.063,55.259,65.439,74.343,79.928,84.55,87.745,90.228,92.195,93.605,94.606,95.311,95.795,96.122,96.411
798,"TUV","Tuvalu",11.193,13.37,15.895,18.793,22.081,25.761,29.822,34.251,40.661,43.97,46.018,49.699,54.796,59.73,64.014,67.587,70.488,72.773,74.515,76.079
800,"UGA","Uganda",2.82,3.532,4.417,5.509,6.664,7.04,7.534,9.152,11.076,12.846,14.786,16.96,19.383,22.06,24.954,28.012,31.193,34.438,37.666,40.866
804,"UKR","Ukraine",35.5,41.373,46.792,50.649,54.831,58.389,61.693,64.681,66.757,66.951,67.145,67.79,68.596,69.061,69.608,70.487,71.691,73.186,74.926,76.816
784,"ARE","United Arab Emirates",54.5,64.572,73.5,77.723,79.8,79.8,80.71,79.804,79.051,78.319,80.236,82.262,84.087,85.674,87.048,88.23,89.242,90.116,90.925,91.673
826,"GBR","United Kingdom",78.981,78.714,78.444,77.821,77.117,77.683,78.481,78.39,78.14,78.353,78.651,79.915,81.302,82.626,83.903,85.124,86.285,87.378,88.395,89.341
840,"USA","United States of America",64.153,67.163,69.996,71.879,73.602,73.653,73.738,74.494,75.3,77.257,79.057,79.928,80.772,81.671,82.664,83.734,84.858,86.011,87.136,88.184
858,"URY","Uruguay",77.926,79.107,80.241,81.328,82.368,83.387,85.394,87.194,88.973,90.542,92.028,93.319,94.414,95.045,95.515,95.931,96.298,96.623,96.911,97.165
860,"UZB","Uzbekistan",28.872,31.592,33.978,35.289,36.714,39.087,40.782,40.722,41.365,43.731,46.126,48.537,50.956,50.75,50.416,50.747,51.768,53.468,55.817,58.669
548,"VUT","Vanuatu",8.752,9.546,10.404,11.329,12.325,13.395,14.74,16.722,18.715,20.164,21.673,23.099,24.462,24.961,25.525,26.329,27.397,28.746,30.394,32.324
862,"VEN","Venezuela",47.313,54.556,61.613,67.022,71.852,75.786,79.185,81.925,84.284,86.014,87.559,87.954,88.083,88.154,88.279,88.578,89.04,89.645,90.368,91.145
704,"VNM","Viet Nam",11.641,13.094,14.7,16.421,18.3,18.782,19.247,19.561,20.257,22.166,24.374,27.281,30.417,33.809,37.34,40.909,44.455,47.909,51.196,54.281
876,"WLF","Wallis and Futuna Islands",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
732,"ESH","Western Sahara",31,31.095,31.19,36.185,42.092,59.458,75.688,82.281,84.089,85.522,85.775,86.023,86.268,86.51,86.829,87.273,87.831,88.488,89.226,89.985
887,"YEM","Yemen",5.8,7.279,9.1,11.026,13.3,14.844,16.534,18.373,20.931,23.76,26.267,28.936,31.776,34.777,37.908,41.125,44.356,47.562,50.79,54.012
894,"ZMB","Zambia",11.5,14.509,18.145,23.372,30.351,34.934,39.815,39.655,39.407,37.104,34.802,36.911,39.355,41.907,44.629,47.498,50.478,53.513,56.522,59.486
716,"ZWE","Zimbabwe",10.644,11.59,12.608,14.62,17.362,19.873,22.371,25.414,28.988,31.732,33.758,34.11,33.196,32.385,32.242,32.853,34.238,36.426,39.403,42.643
