"code","iso","country","WTA.raw.1992","WTA.raw.1993","WTA.raw.1994","WTA.raw.1995","WTA.raw.1996","WTA.raw.1997","WTA.raw.1998","WTA.raw.1999","WTA.raw.2000","WTA.raw.2001","WTA.raw.2002","WTA.raw.2003","WTA.raw.2004","WTA.raw.2005","WTA.raw.2006","WTA.raw.2007","WTA.raw.2008","WTA.raw.2009","WTA.raw.2010","WTA.raw.2011","WTA.raw.2012","WTA.raw.2013","WTA.raw.2014","WTA.raw.2015"
124,"CAN","Canada",120012.48,120008.97,120006.45,117113.85,115941.06,114865.92,112955.67,111072.87,104833.89,95558.58,91577.52,88124.13,84068.01,82321.92,80903.07,79783.65,78733.98,78002.73,78055.65,78021.99,78061.59,77972.4,78037.2,78068.79
136,"CYM","Cayman Islands",7.92,7.83,7.83,7.83,7.74,7.74,7.65,7.65,7.65,7.65,7.56,7.56,7.56,7.38,7.29,7.11,6.75,6.57,6.39,6.39,6.21,5.85,5.67,5.58
140,"CAF","Central African Republic",143.1,143.1,143.1,142.83,142.83,142.83,141.48,139.95,139.77,136.44,136.71,138.06,139.68,138.69,135.81,135.81,135.63,136.17,135.72,136.62,136.44,136.53,135.45,135.45
148,"TCD","Chad",6467.31,6467.31,6467.31,6504.12,6518.25,6532.2,6543.99,6562.08,6568.47,6596.1,6616.35,6649.29,6650.1,6666.12,6674.13,6675.57,6673.41,6672.42,6675.12,6679.44,6678.18,6671.25,6657.66,6657.66
152,"CHL","Chile",1205.19,1205.19,1205.19,1200.87,1200.96,1202.67,1200.42,1205.1,1216.26,1075.77,986.67,825.57,510.75,441.81,411.3,401.49,344.43,325.8,321.3,320.85,318.42,317.16,317.97,317.97
156,"CHN","China",31053.24,31047.12,31041.63,31085.19,31127.04,31145.04,31192.83,31374.18,31453.47,31818.33,31866.93,32037.39,32335.83,32383.98,32485.5,32781.69,32853.6,32927.49,33103.8,33285.51,33361.74,33354.9,33279.57,33270.93
170,"COL","Colombia",23626.26,23708.97,23708.16,23626.53,23626.71,23641.02,23662.44,23795.1,23784.48,23787.72,23812.56,23835.96,24223.23,24197.58,24145.38,24158.43,24191.91,24202.08,24221.16,24234.3,24256.44,24338.07,24492.15,24490.98
174,"COM","Comoros",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
184,"COK","Cook Islands",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
188,"CRI","Costa Rica",35.64,35.55,35.55,35.46,35.37,35.28,35.19,35.19,34.92,34.02,34.56,34.38,33.03,31.77,33.12,33.84,33.93,33.84,33.03,33.12,33.93,33.66,33.57,33.48
384,"CIV","Cote d'Ivoire",128.97,128.88,128.88,100.8,74.97,56.79,49.23,26.37,21.87,20.43,20.43,17.73,17.1,17.1,17.19,17.28,17.82,18.45,18.54,18.63,19.17,19.53,22.86,22.86
191,"HRV","Croatia",267.75,267.75,267.75,266.76,266.22,265.86,263.88,261.09,261.54,262.08,262.17,262.44,262.26,262.53,262.98,264.6,264.15,264.69,264.87,266.31,267.12,266.76,268.02,267.93
192,"CUB","Cuba",2287.35,2287.17,2286.9,2275.29,2270.43,2267.28,2264.13,2239.65,2228.49,2205.27,2198.79,2176.11,2175.12,2172.42,2165.13,2144.79,2121.39,2038.59,2043.36,2046.87,2055.6,2061.54,2070.81,2069.1
531,"CUW","Curacao",14.94,14.94,14.85,14.76,14.76,14.67,14.58,14.58,14.49,14.49,14.49,14.4,14.4,14.4,14.4,14.13,13.77,13.59,13.23,12.69,12.33,11.88,11.79,11.7
196,"CYP","Cyprus",5.85,5.85,5.85,5.85,5.85,5.85,5.85,5.85,5.85,5.85,5.85,5.85,5.85,5.85,5.85,5.85,5.85,5.85,5.85,5.85,5.85,5.85,5.85,5.76
203,"CZE","Czech Republic",74.16,74.16,74.16,73.8,73.8,73.71,73.71,75.24,76.23,76.14,76.86,77.4,78.21,78.3,78.3,78.3,78.75,78.66,78.93,78.3,77.49,77.31,78.3,78.3
180,"COD","Dem. Rep. Congo",48009.42,48008.79,48008.16,47997.9,47981.16,48015.27,48044.34,48269.88,48280.23,48442.86,48433.14,48491.01,48608.1,48664.26,48667.23,48779.28,48861.9,48961.89,49053.06,49096.89,49113.45,49092.3,48998.34,48997.08
208,"DNK","Denmark",665.55,665.37,665.19,665.01,665.19,664.65,663.93,662.67,663.75,663.84,664.83,664.74,666.09,666.45,668.61,670.59,672.57,673.92,675.54,676.35,677.34,677.34,677.07,677.07
262,"DJI","Djibouti",945.45,945.45,945.45,945.45,945.45,945.45,945.45,945.45,945.45,945.45,945.45,945.45,945.45,945.45,945.45,945.45,945.45,945.45,945.45,945.45,945.45,945.45,945.45,945.45
212,"DMA","Dominica",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
214,"DOM","Dominican Republic",2135.88,2134.71,2133.72,2128.59,2127.15,2125.98,2122.74,2115.45,2107.08,2093.49,2087.82,2082.69,2076.66,2080.08,2074.32,2066.67,2047.77,2037.15,2040.03,2040.12,2034.81,2034.99,2035.71,2034.54
218,"ECU","Ecuador",1113.12,1115.1,1114.83,1112.22,1115.55,1118.61,1119.42,1118.7,1121.58,1117.08,1114.2,1109.43,1171.35,1162.35,1161.54,1162.98,1157.49,1152.18,1149.12,1148.58,1146.06,1143.09,1130.85,1129.32
818,"EGY","Egypt",11289.42,11289.24,11288.97,11189.88,11169.18,11160.09,11134.71,11121.75,11117.79,11131.02,11130.84,11130.93,11131.02,11148.75,11152.89,11145.33,11141.55,11137.32,11138.04,11129.67,11118.24,11105.01,11080.62,11077.74
222,"SLV","El Salvador",17.28,17.1,16.83,16.74,16.74,16.74,16.65,16.02,16.02,15.57,15.39,15.3,15.12,15.48,14.85,14.76,14.76,14.76,14.67,14.58,14.58,14.58,16.11,16.02
226,"GNQ","Equatorial Guinea",10.17,10.17,10.17,10.17,10.17,10.17,10.17,10.17,10.26,10.26,9.99,9.9,9.81,9.54,9.45,9.36,9.27,9.18,9.09,8.82,8.82,8.64,8.46,8.46
232,"ERI","Eritrea",221.22,221.22,221.22,222.12,224.64,224.55,226.89,269.37,270.09,270.09,270.09,270.09,270.09,270.18,270.45,272.52,274.23,274.23,274.5,274.5,274.5,274.5,274.59,274.59
233,"EST","Estonia",1826.19,1826.19,1826.19,1825.83,1826.01,1828.71,1832.04,1867.14,1878.66,1881.18,1887.48,1887.12,1898.73,1898.91,1903.32,1909.53,1912.32,1916.19,1929.24,1958.67,1970.46,1992.87,2019.42,2019.6
748,"SWZ","Eswatini",48.78,48.78,48.78,48.78,48.78,48.96,48.96,49.14,49.32,49.5,49.5,49.59,49.77,49.77,49.77,50.22,50.13,42.39,42.39,41.85,41.13,40.95,41.22,41.22
231,"ETH","Ethiopia",1688.04,1688.04,1687.95,1678.5,1677.87,1677.6,1683.54,1681.65,1675.35,1677.87,1675.35,1671.75,1665.72,1668.15,1667.16,1668.51,1668.51,1669.86,1669.86,1669.77,1670.04,1668.96,1667.61,1667.61
234,"FRO","Faeroe Islands",43.92,43.92,43.92,43.92,43.92,43.92,43.92,43.92,43.92,43.92,43.92,43.92,43.92,43.92,43.92,43.92,43.92,43.92,43.92,43.92,43.92,43.92,43.92,43.92
238,"FLK","Falkland Islands",0,0,0,0,0,0,0,0,0,0,0.09,0.18,0.18,0.18,1.08,1.08,1.08,1.17,1.17,1.17,1.17,1.17,1.17,1.17
242,"FJI","Fiji",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
