"code","iso","country","WL5.raw.1997","WL5.raw.1998","WL5.raw.1999","WL5.raw.2000","WL5.raw.2001","WL5.raw.2002","WL5.raw.2003","WL5.raw.2004","WL5.raw.2005","WL5.raw.2006","WL5.raw.2007","WL5.raw.2008","WL5.raw.2009","WL5.raw.2010","WL5.raw.2011","WL5.raw.2012","WL5.raw.2013","WL5.raw.2014","WL5.raw.2015"
748,"SWZ","Eswatini",0,0,0,0,0,0,0.09,0.09,0.09,0.09,0.09,0.09,8.73,8.73,9.36,10.08,10.17,1.53,1.53
231,"ETH","Ethiopia",11.16,11.52,16.92,14.04,13.14,18.09,22.23,23.31,16.74,18.54,13.5,10.62,3.33,3.87,2.79,2.7,2.43,5.31,4.68
234,"FRO","Faeroe Islands",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
238,"FLK","Falkland Islands",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
242,"FJI","Fiji",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
246,"FIN","Finland",1068.93,1195.38,2541.69,2471.58,3379.23,3758.22,4036.05,3781.44,3255.93,2266.74,2367.9,2514.42,1961.28,1921.5,1806.21,1305.9,843.3,725.49,653.22
250,"FRA","France",10.53,9.99,13.23,14.67,15.84,18.63,25.11,26.64,24.93,25.38,22.59,16.65,12.78,12.51,11.88,13.05,15.39,20.88,20.43
258,"PYF","French Polynesia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
266,"GAB","Gabon",72.27,90.63,93.15,89.91,63.09,26.91,8.46,9,8.1,7.74,3.06,3.42,0.99,1.8,3.6,3.69,3.6,3.51,2.7
270,"GMB","Gambia",0,0,0,0,0,0,0,1.62,1.8,1.8,1.8,1.89,0.81,1.08,1.08,1.08,0.99,0.45,0.18
268,"GEO","Georgia",0.18,0.18,0.27,0.36,0.45,0.45,0.54,0.45,0.18,0.09,0.18,0.27,0.27,0.36,0.36,0.27,0.09,1.17,1.08
276,"DEU","Germany",4.32,4.68,10.53,10.44,11.88,12.42,13.77,9.45,8.64,6.57,5.4,6.39,4.68,5.58,6.84,8.19,7.47,18.9,17.28
288,"GHA","Ghana",61.83,87.75,562.95,599.22,552.96,545.85,524.16,56.07,15.21,12.69,16.02,15.39,9.18,8.73,10.8,26.55,63.09,63.81,63.81
300,"GRC","Greece",0.27,0.54,1.26,2.34,2.61,2.7,3.06,2.88,2.61,3.06,2.88,2.88,2.25,2.88,2.52,2.7,2.16,4.05,2.7
304,"GRL","Greenland",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
308,"GRD","Grenada",0.09,0.09,0.09,0.09,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0
320,"GTM","Guatemala",7.65,8.37,9.54,9.63,12.87,12.87,17.1,17.01,17.1,17.28,17.64,14.94,16.11,15.48,12.96,12.78,11.79,10.8,9.09
831,"GGY","Guernsey",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
324,"GIN","Guinea",0.45,0.45,0.99,0.54,0.54,2.07,3.51,4.59,9.72,19.71,22.05,23.13,21.51,16.38,6.39,2.61,0.18,0.18,0.18
624,"GNB","Guinea-Bissau",0,0,0,0,0,0,0,1.44,1.44,2.25,2.25,2.43,0.36,0.45,0.45,0.45,0.27,0.09,0
328,"GUY","Guyana",14.58,20.25,44.37,47.07,55.35,60.3,56.16,33.48,27.09,21.15,13.14,12.33,10.62,6.3,5.31,6.3,7.38,7.47,6.84
332,"HTI","Haiti",8.37,8.01,27.09,44.46,56.7,64.89,70.11,55.71,44.73,40.77,35.64,35.91,36.27,30.06,24.84,24.48,25.74,25.02,24.75
336,"VAT","Holy See",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340,"HND","Honduras",29.43,29.43,36.99,12.87,18.45,17.73,23.31,16.92,15.21,9.9,8.73,3.96,3.06,3.06,1.98,1.62,0.72,0.54,0.45
344,"HKG","Hong Kong",0.27,0.27,0.36,0.36,0.27,0.18,0.18,0.09,0.18,0.18,0.27,0.18,0.18,0.09,0.09,0,0,0.09,0.09
348,"HUN","Hungary",6.48,7.56,9.54,7.56,8.46,9.54,10.35,10.35,10.35,8.28,7.92,8.28,6.57,5.4,4.23,3.06,0.81,5.67,5.76
352,"ISL","Iceland",0.09,0.09,0.09,0.18,0.18,0.09,0.09,0.09,0,0,0,0,0,0,0,0,0,0,0
356,"IND","India",4.14,5.67,16.02,16.29,29.52,43.02,44.64,39.69,40.32,31.32,19.62,19.17,14.49,25.92,41.85,45.81,46.98,91.17,78.75
360,"IDN","Indonesia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
364,"IRN","Iran",0,0,0,0,0,0.18,0.27,2.7,2.7,2.7,2.52,2.79,0.54,0.45,7.65,8.01,7.74,7.92,8.28
368,"IRQ","Iraq",0,0,0,0,0,0,3.87,4.59,5.94,6.21,8.37,4.95,5.49,4.23,4.23,2.25,2.07,0.9,0.81
372,"IRL","Ireland",45.54,50.31,80.55,81.54,79.92,67.86,70.47,46.8,32.31,25.02,19.53,15.93,13.05,13.41,13.77,11.52,10.35,10.98,9
833,"IMN","Isle of Man",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
376,"ISR","Israel",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
380,"ITA","Italy",1.71,2.97,6.21,6.66,6.48,6.21,5.22,2.79,2.61,2.88,2.79,2.43,2.52,1.98,2.07,2.52,3.15,3.69,4.32
388,"JAM","Jamaica",3.69,3.51,3.6,2.79,2.61,2.25,2.34,1.89,1.98,1.71,2.61,2.34,2.43,2.25,2.16,1.08,1.26,1.26,1.26
392,"JPN","Japan",1.17,1.08,1.08,0.36,5.04,7.56,7.56,9.63,10.17,4.32,2.34,5.31,5.49,5.94,7.02,7.11,5.31,10.08,9.18
832,"JEY","Jersey",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
400,"JOR","Jordan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
398,"KAZ","Kazakhstan",8.46,10.17,16.02,16.65,23.04,31.95,40.77,38.97,33.39,25.29,16.83,7.29,3.42,3.15,2.7,1.8,1.53,18.45,18
404,"KEN","Kenya",0.18,0.63,1.8,1.89,1.89,6.03,7.47,9.63,9.63,13.68,12.15,14.4,12.51,12.96,10.26,8.1,4.77,13.23,12.78
296,"KIR","Kiribati",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
689,"XKX","Kosovo",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
414,"KWT","Kuwait",0.45,0.45,0.27,0.18,3.42,6.93,7.83,8.01,10.17,8.28,6.03,5.31,5.49,4.41,3.51,2.34,2.25,1.98,1.53
417,"KGZ","Kyrgyzstan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
418,"LAO","Laos",15.12,16.29,16.65,17.91,6.48,3.06,2.7,8.37,7.02,7.56,8.37,8.64,36.9,47.25,51.48,52.47,51.48,18.72,8.28
