"code","iso","country","BHV.raw.2005","BHV.raw.2010","BHV.raw.2015"
795,"TKM","Turkmenistan",0.662599,0.670335,0.671202
796,"TCA","Turks and Caicos Islands",0.648131,0.648707,0.635968
798,"TUV","Tuvalu",0.621758,0.62381,0.62381
800,"UGA","Uganda",0.541242,0.538192,0.538192
804,"UKR","Ukraine",0.438763,0.44139,0.430373
784,"ARE","United Arab Emirates",0.767546,0.766917,0.76819
826,"GBR","United Kingdom",0.461182,0.465016,0.447058
840,"USA","United States of America",0.581816,0.580897,0.581726
858,"URY","Uruguay",0.510723,0.51165,0.519505
860,"UZB","Uzbekistan",0.651548,0.65976,0.658928
548,"VUT","Vanuatu",0.70448,0.704603,0.704603
862,"VEN","Venezuela",0.625542,0.62025,0.611001
704,"VNM","Viet Nam",0.506132,0.514095,0.507708
876,"WLF","Wallis and Futuna Islands",0.624642,0.628152,0.628152
732,"ESH","Western Sahara",0.779645,0.778733,0.783217
887,"YEM","Yemen",0.70278,0.702618,0.70401
894,"ZMB","Zambia",0.661877,0.657998,0.657998
716,"ZWE","Zimbabwe",0.586759,0.580004,0.580004
