"code","iso","country","GL5.raw.1997","GL5.raw.1998","GL5.raw.1999","GL5.raw.2000","GL5.raw.2001","GL5.raw.2002","GL5.raw.2003","GL5.raw.2004","GL5.raw.2005","GL5.raw.2006","GL5.raw.2007","GL5.raw.2008","GL5.raw.2009","GL5.raw.2010","GL5.raw.2011","GL5.raw.2012","GL5.raw.2013","GL5.raw.2014","GL5.raw.2015"
203,"CZE","Czech Republic",15.57,16.65,21.51,21.96,27.72,34.02,43.11,53.37,48.51,44.01,34.92,25.47,11.7,11.7,7.83,6.21,4.14,5.31,5.22
180,"COD","Dem. Rep. Congo",194.85,218.34,253.35,122.85,191.25,258.48,392.94,510.3,544.77,537.39,512.01,488.16,398.97,364.59,347.22,322.38,234.36,324,298.35
208,"DNK","Denmark",1.71,2.16,8.01,7.56,11.97,17.1,17.46,11.61,11.34,6.48,1.35,1.08,0.99,1.08,0.99,1.35,0.99,3.42,3.33
262,"DJI","Djibouti",0.36,0.18,0.18,4.59,15.93,60.66,61.47,62.01,58.77,49.32,6.84,9,10.98,11.97,10.62,8.37,9.54,7.74,6.3
212,"DMA","Dominica",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
214,"DOM","Dominican Republic",15.84,19.53,37.35,44.28,58.32,67.59,89.1,154.89,166.5,162.99,166.86,164.61,90,75.51,62.19,47.88,26.01,19.62,14.58
218,"ECU","Ecuador",82.71,79.11,81.18,67.86,47.52,37.17,40.5,32.49,36.99,56.52,89.28,150.84,177.57,208.35,227.25,224.01,231.48,331.02,301.23
818,"EGY","Egypt",0.09,0.18,0.18,0.18,0.09,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0
222,"SLV","El Salvador",2.07,1.62,1.8,1.53,1.35,1.44,1.53,1.44,1.71,1.71,1.62,1.71,1.71,1.44,1.35,1.08,1.17,0.72,0.63
226,"GNQ","Equatorial Guinea",0,0,1.08,1.08,1.08,1.08,1.08,0,0,0,0,0,0,0,0,0,0,0,0
232,"ERI","Eritrea",120.15,177.48,234.18,240.39,318.42,321.39,271.08,226.98,147.96,67.68,87.48,178.74,196.38,217.62,224.55,197.01,116.82,308.34,292.86
233,"EST","Estonia",0.18,0.18,0.18,0.09,2.43,5.13,12.33,12.96,15.03,13.86,11.97,5.76,8.1,6.57,5.4,5.22,4.14,5.4,4.77
748,"SWZ","Eswatini",0,0.27,0.27,0.27,1.17,5.22,5.49,7.02,10.8,11.34,8.19,7.83,7.83,10.71,9.99,9.72,9.36,7.92,2.43
231,"ETH","Ethiopia",92.7,149.31,384.75,523.08,590.58,672.3,661.95,567.63,509.04,537.66,649.08,914.76,920.52,969.48,975.51,813.06,613.62,601.11,446.49
234,"FRO","Faeroe Islands",0.54,0.54,0.63,0.54,0.09,0.09,0.09,0,0,0,0,0,1.08,1.17,1.17,1.17,1.17,0.09,0
238,"FLK","Falkland Islands",6.12,9.54,19.8,31.41,39.51,45.9,46.8,58.77,48.42,35.1,31.5,27.18,7.74,7.92,8.19,6.21,6.21,3.96,2.52
242,"FJI","Fiji",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
246,"FIN","Finland",0.36,0.36,0.36,32.58,33.39,36,36,38.52,7.29,7.29,5.58,6.66,4.95,3.96,3.42,2.88,2.34,9.63,9.45
250,"FRA","France",465.48,518.58,627.84,522.36,494.46,452.88,479.16,474.93,465.3,380.16,423.18,468.9,453.87,432.63,385.47,288.63,178.38,131.31,122.58
258,"PYF","French Polynesia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
266,"GAB","Gabon",4.23,4.05,8.19,16.02,19.44,21.15,21.69,19.98,11.34,7.47,4.32,6.57,4.41,5.13,14.49,18.27,16.38,63.9,62.73
270,"GMB","Gambia",0.18,0.27,0.18,0.18,0.45,0.45,0.36,2.97,2.97,2.7,2.61,2.61,0,0,0,0.09,0.18,0.18,0.18
268,"GEO","Georgia",33.48,34.92,36.72,7.83,7.02,7.92,7.65,6.21,5.58,7.92,15.48,20.34,21.42,21.69,19.17,17.91,12.42,35.64,34.65
276,"DEU","Germany",374.94,405.36,566.28,496.8,481.32,550.35,672.21,728.46,665.01,580.05,467.28,323.64,99.36,94.14,89.01,68.31,53.28,107.01,102.42
288,"GHA","Ghana",12.42,12.69,42.03,42.48,43.56,43.83,44.55,16.47,14.67,10.08,8.37,6.12,4.68,3.6,2.97,1.98,2.07,1.62,1.26
300,"GRC","Greece",5.58,8.01,12.51,16.02,15.03,18.27,17.46,13.95,8.91,8.37,8.19,11.52,12.96,14.76,14.94,13.95,12.24,16.47,18.72
304,"GRL","Greenland",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
308,"GRD","Grenada",0.18,0.18,0.45,0.63,0.45,0.45,0.45,0.18,0,0,0.18,0.18,0.18,0.18,0.18,0.09,0.09,0.18,0.18
320,"GTM","Guatemala",11.61,11.52,16.47,16.83,32.94,44.1,47.88,50.76,58.77,56.43,65.34,74.52,83.16,87.75,84.87,80.19,89.37,90,81.54
831,"GGY","Guernsey",0.72,0.72,0.72,0.72,0,0,0.18,0.27,0.27,0.27,0.27,0.09,0,0,0,0,0,0,0
324,"GIN","Guinea",0,0.09,0.09,0.09,0.81,0.81,0.81,1.17,1.62,1.44,2.34,2.7,3.69,3.6,3.69,3.78,4.05,3.15,2.97
624,"GNB","Guinea-Bissau",0.18,0.18,0.18,0.18,0.36,0.45,0.45,0.45,0.81,1.08,0.99,1.35,1.35,1.26,0.72,0.81,0.45,0.45,0.18
328,"GUY","Guyana",1.35,1.71,1.98,2.34,2.52,2.61,2.34,2.34,2.61,4.23,5.94,7.02,7.02,6.48,4.59,2.16,0.99,0.72,0.45
332,"HTI","Haiti",3.51,7.11,38.79,52.83,63.63,74.07,85.77,71.64,61.29,55.71,49.68,38.52,24.57,22.59,29.25,25.29,23.22,24.66,24.12
336,"VAT","Holy See",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340,"HND","Honduras",3.42,4.86,6.21,9.36,13.59,15.21,16.65,29.61,34.38,35.1,38.61,43.83,33.57,30.78,28.8,27.9,22.5,23.13,18
344,"HKG","Hong Kong",8.01,9.72,16.38,21.51,19.35,15.21,14.67,8.19,3.06,2.97,3.51,3.78,3.6,1.8,1.98,1.98,0.54,0.36,0.27
348,"HUN","Hungary",4.59,5.13,7.83,7.65,12.33,23.85,32.94,43.2,43.38,40.05,29.16,23.49,12.15,10.62,8.37,8.19,3.6,6.03,5.85
352,"ISL","Iceland",1.98,2.79,3.24,3.69,3.06,2.16,1.17,0.54,0,0,0,0,0,0,0,0,0,0,0
356,"IND","India",1833.21,2123.46,2449.44,1509.75,2084.58,2375.1,2552.85,2696.58,2585.34,1791.27,1422.45,1068.84,663.3,552.06,732.42,726.66,680.31,1153.71,1107.54
