"code","iso","country","EEZ.raw.1990","EEZ.raw.1991","EEZ.raw.1992","EEZ.raw.1993","EEZ.raw.1994","EEZ.raw.1995","EEZ.raw.1996","EEZ.raw.1997","EEZ.raw.1998","EEZ.raw.1999","EEZ.raw.2000","EEZ.raw.2001","EEZ.raw.2002","EEZ.raw.2003","EEZ.raw.2004","EEZ.raw.2005","EEZ.raw.2006","EEZ.raw.2007","EEZ.raw.2008","EEZ.raw.2009","EEZ.raw.2010","EEZ.raw.2011","EEZ.raw.2012","EEZ.raw.2013","EEZ.raw.2014","EEZ.raw.2015","EEZ.raw.2016","EEZ.raw.2017","EEZ.raw.2018","EEZ.raw.2019","EEZ.raw.2020"
124,"CAN","Canada",5744566.99786284,5744566.99786284,5744566.99786285,5744566.99786295,5744566.99786233,5744566.99786233,5744566.99786235,5744566.99786231,5744566.99786227,5744566.997863,5744566.99786301,5744566.99786361,5744566.9978636,5744566.9978636,5744566.99786344,5744566.99786359,5744566.9978636,5744566.99786369,5744566.99786369,5744566.99786349,5744566.99786363,5744566.99786375,5744566.9978638,5744566.99786381,5744566.99786388,5744566.99786397,5744566.99786355,5744566.99786351,5744566.99786193,5744566.99786193,5744566.99786188
136,"CYM","Cayman Islands",121059.623230354,121059.623230354,121059.623230354,121059.623230354,121059.623230354,121059.623230354,121059.623230354,121059.623230354,121059.623230354,121059.623230354,121059.623230354,121059.623230354,121059.623230354,121059.623230356,121059.623230356,121059.623230356,121059.623230356,121059.623230356,121059.623230356,121059.623230356,121059.623230356,121059.623230357,121059.623230357,121059.623230357,121059.623230357,121059.623230356,121059.623230356,121059.623230356,121059.623230356,121059.623230356,121059.623230356
140,"CAF","Central African Republic",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
148,"TCD","Chad",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
152,"CHL","Chile",3676760.68362781,3676760.68362781,3676760.68362781,3676760.68362771,3676760.68362771,3676760.68362771,3676760.68362771,3676760.68362766,3676760.68362766,3676760.68362766,3676760.68362766,3676760.68362766,3676760.68362766,3676760.68362766,3676760.68362769,3676760.68362768,3676760.68362765,3676760.68362758,3676760.68362761,3676760.68362761,3676760.68362761,3676760.68362761,3676760.68362761,3676760.68362761,3676760.68362761,3676760.68362761,3676760.6836277,3676760.6836277,3676760.68362617,3676760.68362569,3676760.68362845
156,"CHN","China",1382159.87773722,1382159.87773722,1382159.87773722,1382159.87773717,1382159.87773717,1382159.87773717,1382159.87773717,1382159.87773717,1382159.87773717,1382159.87773717,1382159.87773717,1382159.87773717,1382159.87773717,1382159.87773711,1382159.87773711,1382159.87773711,1382159.87773711,1382159.87773711,1382159.87773711,1382159.87773711,1382159.87773711,1382159.87773711,1382159.87773711,1382159.87773711,1382159.87773711,1382159.87773711,1382159.87773711,1382159.87773711,1382159.87773711,1382159.87773711,1382159.87773711
170,"COL","Colombia",780576.284759114,780576.284759114,780576.284759114,780576.284759114,780576.284759114,780576.284759114,780576.284759245,780576.284759245,780576.284759245,780576.284759146,780576.284759146,780576.284759146,780576.284759147,780576.284759146,780576.284759147,780576.28475916,780576.284755729,780576.284755729,780576.284755729,780576.284755729,780576.284755729,780576.284755763,780576.284755763,780576.284755763,780576.284755773,780576.284755878,780576.284755876,780576.284755879,780576.284748918,780576.284748918,780576.284748918
174,"COM","Comoros",232637.034355725,232637.034355725,232637.034355725,232637.034355725,232637.034355725,232637.034355725,232637.034355725,232637.034355725,232637.034355725,232637.034355725,232637.034355725,232637.034355725,232637.034355725,232637.034355725,232637.034355725,232637.034355725,232637.034355725,232637.034355728,232637.034355728,232637.034355728,232637.034355728,232637.034355728,232637.034355728,232637.034355728,232637.034355728,232637.034355728,232637.034355728,232637.034355728,232637.034355728,232637.034355728,232637.034355728
184,"COK","Cook Islands",1980804.08897776,1980804.08897776,1980804.08897776,1980804.08897776,1980804.08897776,1980804.08897776,1980804.08897776,1980804.08897776,1980804.08897776,1980804.08897777,1980804.08897777,1980804.08897778,1980804.08897778,1980804.08897778,1980804.08897778,1980804.08897778,1980804.08897778,1980804.08897778,1980804.08897778,1980804.08897778,1980804.08897778,1980804.08897778,1980804.08897778,1980804.08897778,1980804.08897778,1980804.08897778,1980804.08897778,1980804.08897778,1980804.08899569,1980804.08899569,1980804.08899569
188,"CRI","Costa Rica",603010.807524828,603010.807524828,603010.807524847,603010.807524857,603010.807524857,603010.807524848,603010.807524859,603010.807524859,603010.807524859,603010.80752491,603010.80752491,603010.80752491,603010.80752491,603010.80752491,603010.80752491,603010.80752491,603010.80752491,603010.807524855,603010.807524855,603010.807524855,603010.807524855,603010.807524855,603010.807524856,603010.807524856,603010.807524856,603010.807524856,603010.807524856,603010.807524856,603010.807524921,603010.807524921,603010.807524921
384,"CIV","Cote d'Ivoire",172903.151536359,172903.151536359,172903.151536359,172903.151536359,172903.151536359,172903.151536359,172903.151536359,172903.151536359,172903.151536359,172903.151536359,172903.151536359,172903.151536359,172903.151536359,172903.151536359,172903.151536359,172903.151536359,172903.151536496,172903.151536496,172903.151536496,172903.151536496,172903.151536496,172903.151536496,172903.151536496,172903.151536496,172903.151536496,172903.151536496,172903.151536496,172903.151536496,172903.151536496,172903.151536496,172903.151536496
